date,close_price,miners_revenue,difficulty,hash_rate,median_confirmation_time,avg_block_size,n_unique_addresses,n_transactions_per_block,n_transactions,cost_per_transaction_percent
2023-11-27,37468.89,33990153.118594855,67957790298898.0,439166010.2949663,10.608333333333334,1.7804042538461542,759608.0,3688.3615384615387,479487.0,0.615262137801708
2023-11-28,37248.86,37326757.10887134,67957790298898.0,496595411.64123106,7.95,1.7175090136054423,713884.0,3045.3197278911566,447662.0,0.8431406345159876
2023-11-29,37832.75,34687799.69065694,67957790298898.0,459435210.7701186,8.491666666666667,1.5893472352941178,646160.0,2651.3823529411766,360588.0,0.7380974442695339
2023-11-30,37867.37,34288709.36377425,67957790298898.0,452678810.6117344,10.225,1.7534804328358211,701654.0,3073.7462686567164,411882.0,0.5953444340771091
2023-12-01,37711.79,44330443.88131468,67957790298898.0,570915813.3834561,8.916666666666666,1.870475988165682,844580.0,2937.680473372781,496468.0,0.8052277594277358
2023-12-02,38697.81,33852262.01674702,67957790298898.0,429031410.0573902,9.55,1.6821237322834648,689877.0,3380.803149606299,429362.0,1.663024934459469
2023-12-03,39476.4,46347878.82500001,67957790298898.0,557403013.066688,7.833333333333333,1.721297,777188.0,4290.157575757576,707876.0,1.8219806958530465
2023-12-04,39976.04,46775809.09590795,67957790298898.0,523621012.2747674,8.683333333333334,1.6798850387096775,763939.0,3679.967741935484,570395.0,0.7053185332288533
2023-12-05,41985.55,46391610.444179684,67957790298898.0,466191610.9285027,8.516666666666666,1.6038542101449267,674260.0,3731.608695652174,514962.0,0.6248133734492952
2023-12-06,44076.76,50935074.8445154,67957790298898.0,459435210.7701186,12.466666666666665,1.5178013455882353,642605.0,3439.669117647059,467795.0,0.662529014579966
2023-12-07,43745.3,38956627.59378403,67957790298898.0,388493009.1070856,12.483333333333333,1.6511541652173911,647634.0,3235.217391304348,372050.0,0.6125113643528021
2023-12-08,43298.7,43486639.64278974,67957790298898.0,456057010.69092655,10.316666666666666,1.7802752814814806,682971.0,3047.822222222222,411456.0,0.7569390874300791
